"time{s}","Gain\output"
0,0
0,0
0,0
0.1,0.0998333333333333
0.2,0.198669165277778
0.3,0.295519962530663
0.4,0.38941802558044
0.5,0.47942515762394
0.6,0.56464203870267
0.7,0.644217211395055
0.8,0.717355588282699
0.9,0.783326396187029
1,0.841470477800275
1.1,0.891206877755433
1.2,0.932038647329499
1.3,0.9635578097814
1.4,0.985449436712701
1.5,0.997494794721533
1.6,0.999573530909462
1.7,0.991664875404497
1.8,0.973847848885061
1.9,0.946300473031422
2,0.909297991793501
2.1,0.863210121247544
2.2,0.80849735552014
2.3,0.745706365689541
2.4,0.675464537636855
2.5,0.598473703423033
2.6,0.515503128825568
2.7,0.427381827100998
2.8,0.334990275771461
2.9,0.239251619198279
3,0.141122444843435
3.1,0.0415832253793154
3.2,-0.0583714778541352
3.3,-0.157742952161204
3.4,-0.255538312280963
3.5,-0.350780420951984
3.6,-0.442517652128367
3.7,-0.529833399296427
3.8,-0.611855233888247
3.9,-0.687763622284399
4,-0.756800114308592
4.1,-0.818274921397651
4.2,-0.871573808728386
4.3,-0.916164232437632
4.4,-0.9516006606145
4.5,-0.977529024899325
4.6,-0.99369025821052
4.7,-0.999922883251582
4.8,-0.996164625934824
4.9,-0.982453037601059
5,-0.958925119818255
5.1,-0.925815955508059
5.2,-0.8834563600775
5.3,-0.832269576024983
5.4,-0.772767044046905
5.5,-0.705543292898576
5.6,-0.631269999068161
5.7,-0.550689275617354
5.8,-0.464606257244349
5.9,-0.373881055656613
5.99999999999999,-0.279420165632573
6.09999999999999,-0.182167407639889
6.19999999999999,-0.0830944975085215
6.29999999999999,0.0168086626168455
6.39999999999999,0.116543875035585
6.49999999999999,0.215114620136089
6.59999999999999,0.311536013273708
6.69999999999999,0.404844645396002
6.79999999999999,0.494108209091196
6.89999999999999,0.5784348138797
6.99999999999999,0.656981897673558
7.09999999999999,0.728964645363603
7.19999999999999,0.793663830418732
7.29999999999999,0.850433001146781
7.39999999999999,0.898704939814368
7.49999999999999,0.937997330088449
7.59999999999999,0.967917576172472
7.69999999999999,0.988166725486029
7.79999999999999,0.998542455693933
7.89999999999999,0.998941096239411
7.99999999999999,0.989358664182939
8.09999999999999,0.969890903997012
8.19999999999999,0.940732330919231
8.29999999999999,0.902174287422218
8.39999999999999,0.854602032219438
8.49999999999999,0.798490890892602
8.59999999999999,0.734401506602233
8.69999999999999,0.662974238334686
8.79999999999998,0.584922762656381
8.89999999999998,0.501026942904334
8.99999999999998,0.412125037061541
9.09999999999998,0.31910532217345
9.19999999999998,0.222897218991446
9.29999999999998,0.124462005522831
9.39999999999998,0.0247832122742923
9.49999999999998,-0.0751432048437423
9.59999999999998,-0.174318815762932
